2025-07-02 12:27:10 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.004s
2025-07-02 12:27:11 | INFO | t3shield | log_requests:49 | GET /static/css/nav.css - 200 - 0.007s
2025-07-02 12:27:11 | INFO | t3shield | log_requests:49 | GET /static/logo-cropped.svg - 200 - 0.007s
2025-07-02 12:27:11 | INFO | t3shield | log_requests:49 | GET /favicon.ico - 200 - 0.002s
2025-07-02 12:27:17 | INFO | t3shield | log_requests:49 | POST /t3shield/login - 200 - 2.885s
2025-07-02 12:27:17 | INFO | t3shield | log_requests:49 | GET /dashboard-national - 200 - 0.005s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/css/styles.css - 200 - 0.003s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/js/global-cache.js - 200 - 0.007s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/js/user-management.js - 200 - 0.009s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/js/data.js - 200 - 0.008s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/js/filters.js - 200 - 0.010s
2025-07-02 12:27:18 | INFO | t3shield | log_requests:49 | GET /static/js/map.js - 200 - 0.010s
2025-07-02 12:27:19 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.222s
2025-07-02 12:27:22 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-02 12:27:22 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.982s
2025-07-02 12:27:23 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-02 12:27:23 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-02 12:27:23 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 3.537s
2025-07-02 12:27:23 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-02 12:27:23 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 3.614s
2025-07-02 12:27:23 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 3.627s
2025-07-02 12:27:24 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.613s
2025-07-02 12:27:24 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.631s
2025-07-02 12:27:24 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.697s
2025-07-02 12:27:26 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 1.650s
2025-07-02 12:27:26 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 1.650s
2025-07-02 12:27:26 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 1.660s
2025-07-02 12:27:34 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 9.744s
2025-07-02 12:27:52 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 18.232s
2025-07-02 12:27:52 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.002s
2025-07-02 12:27:52 | INFO | t3shield | log_requests:49 | GET /static/css/nav.css - 200 - 0.005s
2025-07-02 12:27:52 | INFO | t3shield | log_requests:49 | GET /static/logo-cropped.svg - 200 - 0.007s
2025-07-02 12:27:52 | INFO | t3shield | log_requests:49 | GET /favicon.ico - 200 - 0.002s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | POST /t3shield/login - 200 - 0.530s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /dashboard-national - 200 - 0.002s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/css/styles.css - 200 - 0.004s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/js/global-cache.js - 200 - 0.002s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/js/user-management.js - 200 - 0.001s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/js/data.js - 200 - 0.001s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/js/filters.js - 200 - 0.003s
2025-07-02 12:27:56 | INFO | t3shield | log_requests:49 | GET /static/js/map.js - 200 - 0.002s
