2025-07-03 09:32:25 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 4.420s
2025-07-03 09:32:28 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.780s
2025-07-03 09:32:50 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.003s
2025-07-03 09:32:50 | INFO | t3shield | log_requests:49 | GET /static/css/nav.css - 200 - 0.010s
2025-07-03 09:32:50 | INFO | t3shield | log_requests:49 | GET /static/logo-cropped.svg - 200 - 0.017s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | POST /t3shield/login - 200 - 0.661s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /dashboard-national - 200 - 0.002s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/js/global-cache.js - 200 - 0.044s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/css/styles.css - 200 - 0.055s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/js/data.js - 200 - 0.034s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/js/user-management.js - 200 - 0.051s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/js/filters.js - 200 - 0.013s
2025-07-03 09:32:55 | INFO | t3shield | log_requests:49 | GET /static/js/map.js - 200 - 0.022s
2025-07-03 09:32:57 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.705s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /statistiques - 200 - 0.002s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /css/nav.css - 200 - 0.010s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /css/stats-styles.css - 200 - 0.061s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /js/global-cache.js - 200 - 0.042s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /js/user-management.js - 200 - 0.005s
2025-07-03 09:32:59 | INFO | t3shield | log_requests:49 | GET /js/stats-data-refined.js - 200 - 0.005s
2025-07-03 09:33:01 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 1.560s
